Date,Wake Up Time,Miles Run,Press Ups,Sit Ups,Backs,Head Ups,Guitar Played / Hrs,Drinks,Flossed,Finasteride,Mood Score
28/12/2024,12:00,5.6,100,60,50,0,2,1,No,Yes,7
29/12/2024,11:00,0.5,50,25,25,0,2,0,Yes,Yes,7
30/12/2024,8:30,4,50,50,50,0,3,1,Yes,Yes,8
31/12/2024,7:30,0,0,0,0,0,1,10,No,Yes,7
01/01/2025,12:00,0,100,50,50,0,0.25,0,Yes,Yes,6
02/01/2025,8:30,3.2,0,0,0,0,0.5,8,No,Yes,6
03/01/2025,10:30,2.8,100,50,25,0,2,8,No,Yes,5
04/01/2025,13:00,0,0,0,0,0,1.5,2,Yes,Yes,6
05/01/2025,11:00,3,120,100,60,0,1.5,0,Yes,Yes,8
06/01/2025,9:30,2.5,100,100,75,0,2.5,1,Yes,Yes,7
07/01/2025,9:00,2.6,100,50,50,0,1,2,Yes,Yes,7
08/01/2025,9:30,1.4,100,100,50,0,0.5,1,Yes,Yes,6
09/01/2025,9:00,1.7,100,0,0,0,2.5,5,Yes,Yes,6
10/01/2025,9:00,0,50,50,0,0,2,4,No,Yes,7
11/01/2025,10:00,4,50,50,50,0,0.5,1,Yes,Yes,5
12/01/2025,13:00,3,0,0,0,0,1,1,No,Yes,6
13/01/2025,9:00,0,0,0,0,0,0,2,Yes,Yes,7
14/01/2025,9:30,0,50,50,50,0,0.5,2,Yes,Yes,7
15/01/2025,12:00,2,60,50,25,0,0.5,0,Yes,Yes,7
16/01/2025,7:15,5,50,50,0,0,0,1,Yes,Yes,7
17/01/2025,9:30,2.5,0,0,10,0,0.5,1,Yes,Yes,6
18/01/2025,11:00,0,100,100,50,0,0,4,No,No,7
19/01/2025,12:00,0,0,0,0,0,0,3,No,No,7
20/01/2025,11:00,0,15,0,0,0,0,2,Yes,No,5
21/01/2025,7:30,5.6,0,0,0,0,0,0,No,Yes,7
22/01/2025,10:00,0,0,0,0,0,0,4,No,Yes,6
23/01/2025,8:30,0,0,0,0,0,0.25,0,Yes,No,6
24/01/2025,8:30,0,0,0,0,0,0,0,Yes,Yes,6
25/01/2025,10:30,0,0,0,0,0,0,12,No,Yes,6
26/01/2025,11:30,3.6,50,50,25,0,0,1,No,Yes,7
27/01/2025,9:30,0,50,50,25,0,0,0,Yes,Yes,6
28/01/2025,8:30,2.6,75,50,15,0,0.5,0,Yes,Yes,6
29/01/2025,7:30,5.6,0,0,0,0,1,0,Yes,Yes,6
30/01/2025,7:30,2,100,75,25,0,1,0,Yes,Yes,7
31/01/2025,8:30,0.5,50,50,0,0,2,5,No,Yes,6
01/02/2025,12:00,6,100,100,25,0,0.25,4,Yes,Yes,6
02/02/2025,10:00,0,0,0,0,0,0,0,No,Yes,7
03/02/2025,7:45,1.4,50,50,25,0,0.25,1,Yes,Yes,7
04/02/2025,8:00,0.5,50,50,25,0,0.25,0,Yes,Yes,6
